                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          2.0000000000000000E+000          8.5068950041122882E-001          1.8172620000000001E+005                       "gfortran"                          "9.2.0"            "x86_64-macos-20.4.1"                       "20220420" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          3.5977478271889634E+005          1.8172627150548916E+005          1.9138821928855119E+004          1.5906755766577794E+000          3.7397314292203214E+000          8.6967788362722040E+003          5.8924755759515429E+003         -9.9933074868331229E-001         -9.9999810457224336E-001          1.9999994391565610E+000          8.5068950041122671E-001         -9.8999999999999986E+001         -1.1807523505738617E+001         -2.0367934238871566E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1807523505738617E+001         -2.0367934238871566E+001          1.0000000000000000E+000         -2.7516251284373110E-009          8.3209044776607784E+053         -6.1281144743976168E+033          0.0000000000000000E+000          0.0000000000000000E+000         -6.1281144743976168E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          7.1900072259010619E+005          1.8172634271070137E+005          1.9138825678405810E+004          1.5906755766577803E+000          3.7397303849226264E+000          8.6967800642498660E+003          5.8924771522261517E+003         -9.9931868126822865E-001         -9.9999810457590288E-001          1.9999988806686411E+000          8.5068950041122449E-001         -9.8999999999999986E+001         -1.1809060028915697E+001         -2.0368091692578613E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1809060028915697E+001         -2.0368091692578613E+001          1.0000000000000000E+000         -2.7603765945788577E-009          8.3209037842736163E+053         -6.1064740577816109E+033          0.0000000000000000E+000          0.0000000000000000E+000         -6.1064740577816109E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          1.0673565818153515E+006          1.8172641139323401E+005          1.9138829295115604E+004          1.5906755766577800E+000          3.7397293776232052E+000          8.6967812487220090E+003          5.8924786726558641E+003         -9.9930786547922779E-001         -9.9999810458016303E-001          1.9999983419673109E+000          8.5068950041122238E-001         -9.8999999999999986E+001         -1.1811968408111701E+001         -2.0368266249111091E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1811968408111701E+001         -2.0368266249111091E+001          1.0000000000000000E+000         -2.7778075821379450E-009          8.3209031154521120E+053         -6.0657191963000711E+033          0.0000000000000000E+000          0.0000000000000000E+000         -6.0657191963000711E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          1.4056522328925813E+006          1.8172647749775226E+005          1.9138832776070733E+004          1.5906755766577798E+000          3.7397284081335331E+000          8.6967823887343984E+003          5.8924801360157526E+003         -9.9929913391751324E-001         -9.9999810458442162E-001          1.9999978234865443E+000          8.5068950041122016E-001         -9.8999999999999986E+001         -1.1816592854372095E+001         -2.0368443348902094E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1816592854372095E+001         -2.0368443348902094E+001          1.0000000000000000E+000         -2.8063995721142613E-009          8.3209024717350924E+053         -6.0014751640103057E+033          0.0000000000000000E+000          0.0000000000000000E+000         -6.0014751640103057E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          1.7398840046371890E+006          1.8172654193023086E+005          1.9138836168978392E+004          1.5906755766577794E+000          3.7397274631665258E+000          8.6967834999111383E+003          5.8924815623614486E+003         -9.9929250502399947E-001         -9.9999810458843730E-001          1.9999973181204402E+000          8.5068950041121805E-001         -9.8999999999999986E+001         -1.1823284897557924E+001         -2.0368621207201759E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1823284897557924E+001         -2.0368621207201759E+001          1.0000000000000000E+000         -2.8488113461045449E-009          8.3209018443002881E+053         -5.9097093779911637E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.9097093779911637E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.0733938244141790E+006          1.8172660507126126E+005          1.9138839493879954E+004          1.5906755766577780E+000          3.7397265371403932E+000          8.6967845888157881E+003          5.8924829601181382E+003         -9.9928734646576578E-001         -9.9999810459214700E-001          1.9999968228838723E+000          8.5068950041121583E-001         -9.8999999999999986E+001         -1.1831895259546867E+001         -2.0368801076012009E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1831895259546867E+001         -2.0368801076012009E+001          1.0000000000000000E+000         -2.9046525053836495E-009          8.3209012294415459E+053         -5.7936987942204010E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.7936987942204010E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          2.4043688144853660E+006          1.8172666634910353E+005          1.9138842720668574E+004          1.5906755766577763E+000          3.7397256384402322E+000          8.6967856455883666E+003          5.8924843166291921E+003         -9.9928347618679425E-001         -9.9999810459578420E-001          1.9999963422611684E+000          8.5068950041121361E-001         -9.8999999999999986E+001         -1.1842326453531291E+001         -2.0368982003967805E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1842326453531291E+001         -2.0368982003967805E+001          1.0000000000000000E+000         -2.9740238675710926E-009          8.3209006327263754E+053         -5.6562014103686608E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.6562014103686608E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          2.7331425051123616E+006          1.8172672562303010E+005          1.9138845841933831E+004          1.5906755766577754E+000          3.7397247691299089E+000          8.6967866678019709E+003          5.8924856287793282E+003         -9.9928094476166895E-001         -9.9999810459943961E-001          1.9999958773560800E+000          8.5068950041121150E-001         -9.8999999999999986E+001         -1.1854630068198462E+001         -2.0369165462368837E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1854630068198462E+001         -2.0369165462368837E+001          1.0000000000000000E+000         -3.0581909996315962E-009          8.3209000555251566E+053         -5.4982108807547397E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.4982108807547397E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          3.0604497016551467E+006          1.8172678281698839E+005          1.9138848853670970E+004          1.5906755766577743E+000          3.7397239303247649E+000          8.6967876541450587E+003          5.8924868948849780E+003         -9.9927976089489101E-001         -9.9999810460317273E-001          1.9999954287650874E+000          8.5068950041120928E-001         -9.8999999999999986E+001         -1.1869107264038023E+001         -2.0369356088843421E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1869107264038023E+001         -2.0369356088843421E+001          1.0000000000000000E+000         -3.1604663828224697E-009          8.3208994985784613E+053         -5.3179510323551756E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.3179510323551756E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              50          3.3856164408279648E+006          1.8172683761180559E+005          1.9138851739072961E+004          1.5906755766577718E+000          3.7397231267057376E+000          8.6967885991133408E+003          5.8924881078806111E+003         -9.9927983426940625E-001         -9.9999810460694494E-001          1.9999949989915484E+000          8.5068950041120717E-001         -9.8999999999999986E+001         -1.1885728700236619E+001         -2.0369558752470656E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1885728700236619E+001         -2.0369558752470656E+001          1.0000000000000000E+000         -3.2822370822229009E-009          8.3208989649943555E+053         -5.1182680782170290E+033          0.0000000000000000E+000          0.0000000000000000E+000         -5.1182680782170290E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              55          3.7072123284747563E+006          1.8172688961081184E+005          1.9138854477251894E+004          1.5906755766577694E+000          3.7397223640903192E+000          8.6967894958660399E+003          5.8924892589851379E+003         -9.9928121315333129E-001         -9.9999810461077676E-001          1.9999945911466419E+000          8.5068950041120495E-001         -9.8999999999999986E+001         -1.1904590809746434E+001         -2.0369778721910716E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1904590809746434E+001         -2.0369778721910716E+001          1.0000000000000000E+000         -3.4261950857682973E-009          8.3208984586355308E+053         -4.9007330237292749E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.9007330237292749E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              60          4.0236085823321710E+006          1.8172693845142872E+005          1.9138857049115075E+004          1.5906755766577672E+000          3.7397216477960180E+000          8.6967903381503220E+003          5.8924903401721640E+003         -9.9928384463213438E-001         -9.9999810461478866E-001          1.9999942080741575E+000          8.5068950041120284E-001         -9.8999999999999986E+001         -1.1925606604064766E+001         -2.0370018370617952E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1925606604064766E+001         -2.0370018370617952E+001          1.0000000000000000E+000         -3.5940840855469074E-009          8.3208979830327143E+053         -4.6692310726144805E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.6692310726144805E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              65          4.3341707926584855E+006          1.8172698399357119E+005          1.9138859447285937E+004          1.5906755766577638E+000          3.7397209798772550E+000          8.6967911235503743E+003          5.8924913483406290E+003         -9.9928763501859108E-001         -9.9999810461900329E-001          1.9999938508727968E+000          8.5068950041120062E-001         -9.8999999999999986E+001         -1.1948707090664220E+001         -2.0370278784461608E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1948707090664220E+001         -2.0370278784461608E+001          1.0000000000000000E+000         -3.7881599323728550E-009          8.3208975395500199E+053         -4.4273615564514032E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.4273615564514032E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              70          4.6402290427011661E+006          1.8172702643735157E+005          1.9138861682302115E+004          1.5906755766577609E+000          3.7397203573991407E+000          8.6967918555172819E+003          5.8924922879204532E+003         -9.9929243105111243E-001         -9.9999810462341876E-001          1.9999935179729857E+000          8.5068950041119840E-001         -9.8999999999999986E+001         -1.1973733361873961E+001         -2.0370560468330968E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.1973733361873961E+001         -2.0370560468330968E+001          1.0000000000000000E+000         -4.0102633527726660E-009          8.3208971262387677E+053         -4.1794469824681248E+033          0.0000000000000000E+000          0.0000000000000000E+000         -4.1794469824681248E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              75          4.9420774789225487E+006          1.8172706586404890E+005          1.9138863758443669E+004          1.5906755766577574E+000          3.7397197791695937E+000          8.6967925354527761E+003          5.8924931607109165E+003         -9.9929800019157644E-001         -9.9999810462801419E-001          1.9999932087372041E+000          8.5068950041119629E-001         -9.8999999999999986E+001         -1.2000333760010479E+001         -2.0370861269230719E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2000333760010479E+001         -2.0370861269230719E+001          1.0000000000000000E+000         -4.2606169499162244E-009          8.3208967423074697E+053         -3.9311400586080018E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.9311400586080018E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              80          5.2416226311483672E+006          1.8172710260165491E+005          1.9138865692982145E+004          1.5906755766577541E+000          3.7397192403782671E+000          8.6967931690132773E+003          5.8924939739728070E+003         -9.9930413223513692E-001         -9.9999810463276506E-001          1.9999929205928884E+000          8.5068950041119407E-001         -9.8999999999999986E+001         -1.2028136990116620E+001         -2.0371179047173275E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2028136990116620E+001         -2.0371179047173275E+001          1.0000000000000000E+000         -4.5389765909442592E-009          8.3208963845621809E+053         -3.6873586015151285E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.6873586015151285E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              85          5.5408089696630463E+006          1.8172713698083445E+005          1.9138867503329802E+004          1.5906755766577498E+000          3.7397187361756195E+000          8.6967937619013192E+003          5.8924947350260700E+003         -9.9931056845662980E-001         -9.9999810463763350E-001          1.9999926509465167E+000          8.5068950041119196E-001         -9.8999999999999986E+001         -1.2056650556544874E+001         -2.0371510602985722E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2056650556544874E+001         -2.0371510602985722E+001          1.0000000000000000E+000         -4.8432841968318424E-009          8.3208960497829319E+053         -3.4530422478083637E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.4530422478083637E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              90          5.8428926843905589E+006          1.8172716948138949E+005          1.9138869214752209E+004          1.5906755766577454E+000          3.7397182595248788E+000          8.6967943223913499E+003          5.8924954544921102E+003         -9.9931690394095196E-001         -9.9999810464258720E-001          1.9999923960348389E+000          8.5068950041118974E-001         -9.8999999999999986E+001         -1.2085149025072004E+001         -2.0371853438514083E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2085149025072004E+001         -2.0371853438514083E+001          1.0000000000000000E+000         -5.1676796870873897E-009          8.3208957332974722E+053         -3.2337281100090771E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.2337281100090771E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              95          6.1502819050875437E+006          1.8172720048604073E+005          1.9138870847402803E+004          1.5906755766577407E+000          3.7397178048130737E+000          8.6967948570836270E+003          5.8924961408432382E+003         -9.9932268991256701E-001         -9.9999810464747441E-001          1.9999921528560520E+000          8.5068950041118763E-001         -9.8999999999999986E+001         -1.2112690635889017E+001         -2.0372204167164728E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2112690635889017E+001         -2.0372204167164728E+001          1.0000000000000000E+000         -5.5015677905636880E-009          8.3208954313789255E+053         -3.0350228557846328E+033          0.0000000000000000E+000          0.0000000000000000E+000         -3.0350228557846328E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             100          6.4663588158083744E+006          1.8172723048194617E+005          1.9138872426934471E+004          1.5906755766577363E+000          3.7397173648955659E+000          8.6967953743794551E+003          5.8924968048636865E+003         -9.9932742423501664E-001         -9.9999810465225480E-001          1.9999919175892196E+000          8.5068950041118541E-001         -9.8999999999999986E+001         -1.2138247500426766E+001         -2.0372559515730437E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2138247500426766E+001         -2.0372559515730437E+001          1.0000000000000000E+000         -5.8302608346945501E-009          8.3208951392834120E+053         -2.8615752696596643E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.8615752696596643E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             105          6.7948267471732302E+006          1.8172725999529363E+005          1.9138873981055352E+004          1.5906755766577323E+000          3.7397169320553192E+000          8.6967958833532430E+003          5.8924974582017039E+003         -9.9933057382162771E-001         -9.9999810465703942E-001          1.9999916861072886E+000          8.5068950041118319E-001         -9.8999999999999986E+001         -1.2160531258341083E+001         -2.0372915941646948E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2160531258341083E+001         -2.0372915941646948E+001          1.0000000000000000E+000         -6.1321859632261089E-009          8.3208948518869938E+053         -2.7184508621108335E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.7184508621108335E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             110          7.1415179939188352E+006          1.8172728976951193E+005          1.9138875548913111E+004          1.5906755766577287E+000          3.7397164953892701E+000          8.6967963968258264E+003          5.8924981173146007E+003         -9.9933155733884760E-001         -9.9999810466165617E-001          1.9999914525793279E+000          8.5068950041118108E-001         -9.8999999999999986E+001         -1.2178164826010104E+001         -2.0373271398456961E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2178164826010104E+001         -2.0373271398456961E+001          1.0000000000000000E+000         -6.3810688057147094E-009          8.3208945619502793E+053         -2.6102853823056742E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.6102853823056742E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             115          7.5116044948627874E+006          1.8172732054021105E+005          1.9138877169243653E+004          1.5906755766577254E+000          3.7397160441090325E+000          8.6967969274831885E+003          5.8924987984865920E+003         -9.9932980319713527E-001         -9.9999810466621364E-001          1.9999912112357336E+000          8.5068950041117886E-001         -9.8999999999999986E+001         -1.2189675229462186E+001         -2.0373622668520223E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2189675229462186E+001         -2.0373622668520223E+001          1.0000000000000000E+000         -6.5471540688652271E-009          8.3208942623100116E+053         -2.5420123828947909E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.5420123828947909E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             120          7.9027151626142012E+006          1.8172735253972010E+005          1.9138878854281003E+004          1.5906755766577210E+000          3.7397155748073057E+000          8.6967974793319718E+003          5.8924995068607559E+003         -9.9932484290736223E-001         -9.9999810467044636E-001          1.9999909602542902E+000          8.5068950041117675E-001         -9.8999999999999986E+001         -1.2193564707974572E+001         -2.0373958030891263E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2193564707974572E+001         -2.0373958030891263E+001          1.0000000000000000E+000         -6.6009535559483484E-009          8.3208939507038165E+053         -2.5193485727170300E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.5193485727170300E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             125          8.3093883074074676E+006          1.8172738588970579E+005          1.9138880610431897E+004          1.5906755766577170E+000          3.7397150856997468E+000          8.6967980544703751E+003          5.8925002451304272E+003         -9.9931679666758200E-001         -9.9999810467430239E-001          1.9999906986807361E+000          8.5068950041117453E-001         -9.8999999999999986E+001         -1.2189362878521399E+001         -2.0374263675365246E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.2189362878521399E+001         -2.0374263675365246E+001          1.0000000000000000E+000         -6.5327976019108704E-009          8.3208936259469194E+053         -2.5438422075437824E+033          0.0000000000000000E+000          0.0000000000000000E+000         -2.5438422075437824E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
